song_id,album_id,track_number,release_date,release_date_precision,song_name,popularity_song,explicit,song_type,artist_id,name,followers,popularity_artist,artist_type,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,main_genre
6xkryXuiZU360Lngd4sx13,1ibYM4abQtSVQFQWvDSo4J,1,26.09.95,day,Fantasy,66,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,243493,7,1,4,0.139,0.671,0.727,0,0.123,-7.585,0.035,0.801,102.358,dance pop
0S8xKy1efKy3LvR53qe3Cq,2NKxb7pk04CuZab5udkGUl,3,04.08.93,day,Anytime You Need a Friend,49,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,265467,9,0,4,0.469,0.57,0.549,0.00000791,0.0715,-7.956,0.0312,0.295,136.13,dance pop
4FCb4CUbFCMNRkI6lYc1zI,2NKxb7pk04CuZab5udkGUl,2,04.08.93,day,Hero,69,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,257733,4,1,4,0.735,0.501,0.378,0,0.119,-9.37,0.029,0.178,119.987,dance pop
6HcQZfMrw3KwGyzrKw1Pjy,2NKxb7pk04CuZab5udkGUl,1,04.08.93,day,Dreamlover,55,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,232960,5,1,4,0.18,0.701,0.705,0,0.141,-6.18,0.0357,0.71,100.669,dance pop
5rp1lVuLQKe13KTXbmGxE1,5GrPfdDQwODhWVHhwifBLu,8,12.11.01,day,I`ll Be There,59,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,263987,5,1,4,0.677,0.408,0.515,0,0.927,-9.472,0.0316,0.316,81.454,dance pop
6I5AqGHNFZat7YL599E3fj,5GrPfdDQwODhWVHhwifBLu,11,12.11.01,day,Heartbreaker - Album Version (Featuring Jay-Z),32,FALSE,Collaboration,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,285893,10,0,4,0.39,0.682,0.742,0,0.351,-8.515,0.198,0.782,100.04,dance pop
5UVcgBRW78CCcKCopEGAST,0SHpIbyBLUugMXsl3yNkUz,4,17.09.91,day,Make It Happen,44,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,307000,2,0,4,0.0067,0.811,0.53,0.0285,0.0801,-8.537,0.0355,0.75,107.853,dance pop
0ikbcCJIJaY9sKEivAXJ4I,0SHpIbyBLUugMXsl3yNkUz,3,17.09.91,day,Can`t Let Go,48,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,266560,10,1,4,0.591,0.477,0.533,0.00685,0.139,-11.049,0.0408,0.18,162.368,dance pop
0cELvuwJW1acISUHYB6suj,0SHpIbyBLUugMXsl3yNkUz,1,17.09.91,day,Emotions,60,FALSE,Solo,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,248093,9,0,4,0.0411,0.741,0.752,0.0012,0.0233,-7.009,0.0359,0.942,114.851,dance pop
1RS3LStQYhju50eBdD9Uul,1iSTXHBhLc9ImaqyvVZGft,14,29.10.99,day,Thank God I Found You (feat. Joe & 98),55,FALSE,Collaboration,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,4682308,81,singer,257360,10,1,4,0.586,0.472,0.532,0,0.106,-5.882,0.0319,0.152,129.777,dance pop
1xzBco0xcoJEDXktl7Jxrr,15Id9Jrqab8IwHFirdrrLp,9,05.10.18,day,Mo Bamba,81,TRUE,Solo,2RDOrhPqAM4jzTRCEb19qX,Sheck Wes,620853,74,singer,183907,4,1,4,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,0.261,146.034,rap
4OafepJy2teCjYJbvFE60J,3tx8gQqWbGwqIGZHqDNrGe,9,17.08.18,day,breathin,78,TRUE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,198160,8,1,4,0.0211,0.568,0.656,0.0000137,0.213,-5.413,0.0433,0.364,100.049,dance pop
5OCJzvD7sykQEKHH7qAC3C,3tx8gQqWbGwqIGZHqDNrGe,5,17.08.18,day,God is a woman,80,TRUE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,197547,1,1,4,0.0233,0.602,0.658,0.00006,0.237,-5.934,0.0558,0.268,145.031,dance pop
2qT1uLXPVPzGgFOx4jtEuo,3tx8gQqWbGwqIGZHqDNrGe,10,17.08.18,day,no tears left to cry,82,FALSE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,205920,9,0,4,0.04,0.699,0.713,0.00000311,0.294,-5.507,0.0594,0.354,121.993,dance pop
70khXICDeTTxgYtw3EysKH,3tx8gQqWbGwqIGZHqDNrGe,6,17.08.18,day,sweetener,71,TRUE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,208493,4,1,4,0.248,0.721,0.459,0,0.212,-6.408,0.032,0.46,119.914,dance pop
0WdR2AyLW1Drd3OUdwezM0,3tx8gQqWbGwqIGZHqDNrGe,8,17.08.18,day,everytime,70,TRUE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,172107,10,0,4,0.186,0.71,0.614,0,0.0974,-6.757,0.0431,0.658,148.152,dance pop
1xWH8zYtDeS9mW1JJG23VZ,3tx8gQqWbGwqIGZHqDNrGe,4,17.08.18,day,R.E.M,70,TRUE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,245667,10,0,4,0.375,0.831,0.485,0.0000147,0.118,-6.677,0.15,0.622,80.022,dance pop
14kYOiFVPb7E7NfFbqhdln,3tx8gQqWbGwqIGZHqDNrGe,13,17.08.18,day,goodnight n go,70,TRUE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,189507,1,1,4,0.0217,0.708,0.454,0,0.073,-7.07,0.0395,0.24,110.963,dance pop
0XOnMqLQDO89iAg7dWWwnG,3tx8gQqWbGwqIGZHqDNrGe,14,17.08.18,day,pete davidson,67,TRUE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,73813,4,1,4,0.43,0.652,0.31,0.0000116,0.182,-10.212,0.0509,0.304,119.913,dance pop
2meEiZKWkiN28gITzFwQo5,3OZgEywV4krCZ814pTJWr7,4,20.05.16,day,Into You,78,FALSE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,244453,9,1,4,0.0162,0.623,0.734,0.0000019,0.145,-5.95,0.107,0.372,107.853,dance pop
7l94dyN2hX9c6wWcZQuOGJ,3OZgEywV4krCZ814pTJWr7,2,20.05.16,day,Dangerous Woman,76,FALSE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,235947,4,0,3,0.0529,0.662,0.602,0,0.356,-5.369,0.0401,0.29,133.969,dance pop
6f5TuB9WtbA1g49A4DcMQ4,3OZgEywV4krCZ814pTJWr7,3,20.05.16,day,Be Alright,69,FALSE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,179293,1,0,4,0.169,0.813,0.456,0.00000285,0.105,-7.667,0.0685,0.587,108.801,dance pop
7xoUc6faLbCqZO6fQEYprd,6EVYTRG1drKdO8OnIQBeEj,3,25.08.14,day,One Last Time,79,FALSE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,197267,8,1,4,0.093,0.628,0.593,0.00000165,0.096,-5.036,0.0323,0.104,125.026,dance pop
6NmCCgnQcxKHPOAKgd9Nth,6czdbbMtGbAkZ6ud2OMTcg,2,01.01.13,day,Baby I,58,FALSE,Solo,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,34554242,96,singer,197600,1,1,4,0.0154,0.725,0.796,0,0.354,-3.684,0.0326,0.517,101.976,dance pop
