,popularity_song,explicit,song_type,name,followers,popularity_artist,artist_type,duration_ms,key,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
5893,40,0,0,1200,871694,66,1,329507,0,1,0.0288,0.565,0.872,0.000393,0.255,-6.447,0.0313,0.41,111.874
5894,42,0,0,1200,871694,66,1,253800,5,1,0.528,0.663,0.898,0.000216,0.27,-4.828,0.0425,0.628,100.033
5895,67,0,0,1200,871694,66,1,266040,7,1,0.306,0.695,0.746,0.00524,0.368,-8.12,0.0387,0.885,125.123
5896,20,0,0,1200,871694,66,1,632333,2,1,0.0036,0.29,0.706,0.191,0.279,-8.497,0.0575,0.486,88.776
5897,52,0,0,1200,871694,66,1,413347,4,1,0.0418,0.417,0.425,1.31e-05,0.0897,-11.689,0.062,0.498,134.917
5898,48,0,0,1201,105687,43,2,353000,8,0,0.166,0.698,0.434,0.000566,0.0658,-12.892,0.0272,0.386,130.295
5899,30,0,0,1201,105687,43,2,211160,11,1,0.0105,0.83,0.712,0.24,0.049,-7.447,0.0446,0.814,103.141
5900,37,0,0,1201,105687,43,2,225840,10,0,0.15,0.834,0.871,0.0721,0.287,-6.972,0.0821,0.835,110.294
5901,45,0,0,1202,59229,42,0,283307,1,1,0.0362,0.932,0.54,7.48e-05,0.204,-13.168,0.227,0.57,116.351
5902,50,0,0,1203,545311,62,1,241507,8,1,0.186,0.633,0.732,1.37e-05,0.13,-6.785,0.0707,0.273,126.567
5903,65,0,0,1203,545311,62,1,201027,2,1,0.0372,0.472,0.946,0.0,0.352,-4.591,0.145,0.486,177.489
5904,49,0,0,1203,545311,62,1,283933,11,1,0.00254,0.446,0.523,6.12e-06,0.349,-11.716,0.027,0.655,146.482
5905,59,0,0,1203,545311,62,1,236867,6,1,0.115,0.462,0.488,0.0,0.128,-11.143,0.0287,0.33,145.789
5906,34,0,0,1203,545311,62,1,222840,1,1,0.0305,0.533,0.783,8.33e-05,0.436,-9.052,0.057,0.542,130.624
5907,44,0,0,1203,545311,62,1,243040,8,1,0.00882,0.606,0.85,0.000215,0.0965,-10.721,0.0389,0.543,113.794
5908,47,0,0,1204,670385,60,1,268840,7,1,0.335,0.591,0.515,0.0735,0.057,-9.379,0.0281,0.305,114.737
5909,35,0,0,1204,670385,60,1,287827,7,1,0.0362,0.612,0.878,0.0742,0.0825,-7.65,0.0297,0.92,125.956
5910,56,0,0,1204,670385,60,1,235733,9,1,0.00566,0.524,0.886,0.00182,0.331,-9.154,0.0385,0.511,132.446
5911,49,0,0,1204,670385,60,1,295067,7,1,0.044,0.475,0.721,0.000855,0.0591,-10.158,0.0304,0.52,116.172
5912,37,0,0,1204,670385,60,1,230067,2,1,0.117,0.517,0.845,0.133,0.357,-8.856,0.0406,0.714,125.515
